"","size","rep","tau","alph","r0","degAssort","clustering","pathLen","n_components","r","q","time_steps","peak_size","peak_time","tot_inf","prev_1","prev_2","prev_ratio","r_actual"
"1",1000,1,0.02,1,0.4,-0.0104635620439791,0.0327005832368553,5,1,0,-0.00137320688243264,0.842652147269527,1,0,0.001,0.002,0,Inf,-0.00277125828867084
"2",1000,1,0.02,1,0.4,0.0178973503112279,0.0366271526630369,6,1,0.3,0.165808076184421,2.60690395498416,1,0,0.001,0.002,0,Inf,0.334021204236697
"3",1000,1,0.02,1,0.4,0.00275203001469851,0.0470653601373876,6,1,0.6,0.31121931491566,0.523991585555532,1,0,0.001,0,0.002,0,0.623206659253171
"4",1000,1,0.02,1,0.4,0.0864467115687637,0.0925001158104415,7,1,0.9,0.467079473123483,0.312981933981369,1,0,0.001,0,0.002,0,0.934949978251414
"5",1000,2,0.02,1,0.4,-0.0105775195455304,0.0317871594429805,5,1,0,0.0202386698711984,4.43550457966378,1,0,0.001,0,0.002,0,0.0404872521050336
"6",1000,2,0.02,1,0.4,0.0024186369494221,0.0373100392347635,6,1,0.3,0.166505051765125,1.87743666364956,1,0,0.001,0,0.002,0,0.333340745044546
"7",1000,2,0.02,1,0.4,-0.0251812643456622,0.0479758803383778,8,1,0.6,0.315429417641088,2.63442822772897,1,0,0.001,0,0.002,0,0.630880186003806
"8",1000,2,0.02,1,0.4,0.0980091358946526,0.0954501001257393,7,1,0.9,0.465185144198896,0.235397745212961,1,0,0.001,0,0.002,0,0.933573487153886
"9",1000,3,0.02,1,0.4,-0.0174435107741797,0.0324148051524539,5,1,0,-0.00947679548173103,0.527866900922514,1,0,0.001,0,0.002,0,-0.0189592336685969
"10",1000,3,0.02,1,0.4,-0.00145540147722093,0.035286177973455,6,1,0.3,0.166399197592778,0.316572948345264,1,0,0.001,0.002,0,Inf,0.332798395185557
"11",1000,3,0.02,1,0.4,-0.00519337558184165,0.0457286785144451,7,1,0.6,0.312403529545507,0.927059466089621,1,0,0.001,0.002,0,Inf,0.626105340377575
"12",1000,3,0.02,1,0.4,0.0625951733169901,0.0970062510868471,7,1,0.9,0.467401079869498,1.30334156171294,1,0,0.001,0.002,0,Inf,0.934991827792461
"13",1000,4,0.02,1,0.4,-0.0251020364364839,0.0300341447782799,5,1,0,0.00711846673420455,0.669307434910183,1,0,0.001,0.002,0,Inf,0.0142370159678754
"14",1000,4,0.02,1,0.4,-0.00620840403757644,0.037232233934036,6,1,0.3,0.166572254375966,1.09161647843698,1,0,0.001,0,0.002,0,0.333162862708851
"15",1000,4,0.02,1,0.4,0.0151880491956945,0.0473413065347058,7,1,0.6,0.315853156259149,0.556107965946076,1,0,0.001,0.002,0,Inf,0.632714598391399
"16",1000,4,0.02,1,0.5,0.0428961365090777,0.0947292942884459,7,1,0.9,0.465016695019864,1.28923907033846,2,0.659148314577184,0.002,0.004,0,Inf,0.933551023527514
"17",1000,5,0.02,1,0.4,-0.0291126124052169,0.0299647082325261,5,1,0,-0.00909820736029554,0.117834309266622,1,0,0.001,0,0.002,0,-0.0182319244652361
"18",1000,5,0.02,1,0.4,0.00185664550668914,0.0370119882626291,6,1,0.3,0.163703930246104,1.04500509523504,1,0,0.001,0.002,0,Inf,0.329182329258514
"19",1000,5,0.02,1,0.4,0.011435033843342,0.0487019866213312,7,1,0.6,0.315954161380833,0.558526045602524,1,0,0.001,0,0.002,0,0.632280843486507
"20",1000,5,0.02,1,0.4,0.0377480872233246,0.0949084714598599,8,1,0.9,0.46684438470879,0.173453675557428,1,0,0.001,0,0.002,0,0.934168781214952
"21",1000,6,0.02,1,0.4,-0.0117200663138971,0.0308053940368675,5,1,0,-0.01220449714238,0.159825142577891,1,0,0.001,0,0.002,0,-0.0244515642202204
"22",1000,6,0.02,1,0.4,0.00117425922842252,0.0367854396308639,6,1,0.3,0.16667798782506,0.315294963221389,1,0,0.001,0,0.002,0,0.333437610098896
"23",1000,6,0.02,1,0.4,0.0361283070816427,0.0491252316487106,6,1,0.6,0.314442605650452,0.921485888855532,1,0,0.001,0,0.002,0,0.628886122355045
"24",1000,6,0.02,1,0.4,0.0540783025342363,0.0922617160968983,8,1,0.9,0.466002943635319,1.49141932322107,1,0,0.001,0,0.002,0,0.934809500407173
"25",1000,7,0.02,1,0.4,-0.00934271302426,0.0303692822737676,5,1,0,-0.00229553253541975,0.218518709080618,1,0,0.001,0.002,0,Inf,-0.00460018835575634
"26",1000,7,0.02,1,0.4,-0.00106202272278114,0.0365195471145249,6,1,0.3,0.145293151269254,1.35982717595455,1,0,0.001,0.002,0,Inf,0.290727862912358
"27",1000,7,0.02,1,0.4,0.0121122668727557,0.0477426945664412,7,1,0.6,0.312729059797245,0.596662709968816,1,0,0.001,0,0.002,0,0.630146774875255
"28",1000,7,0.02,1,0.4,0.0896052554841931,0.0972204396692397,7,1,0.9,0.466447366170729,0.137533515613153,1,0,0.001,0.002,0,Inf,0.934867567198746
"29",1000,8,0.02,1,0.4,-0.0198153154555554,0.0329594872968643,5,1,0,-0.000118892283671401,1.67067850808362,1,0,0.001,0,0.002,0,-0.000238175651096152
"30",1000,8,0.02,1,0.4,2.49951317903703e-05,0.0361380454197499,7,1,0.3,0.167322348187994,3.73211660363152,1,0,0.001,0.002,0,Inf,0.334698153315333
"31",1000,8,0.02,1,0.4,0.00861346615290775,0.0489396411092985,7,1,0.6,0.314263049932144,0.114008310261165,1,0,0.001,0,0.002,0,0.629257906256012
"32",1000,8,0.02,1,0.4,0.0688082503394081,0.0956277679564053,8,1,0.9,0.46387167520616,0.852775331000077,1,0,0.001,0.002,0,Inf,0.933397925260654
"33",1000,9,0.02,1,0.4,-0.0286289194762888,0.0315701929474385,5,1,0,0.0091186297105961,0.958653212175246,1,0,0.001,0.002,0,Inf,0.0182889426957224
"34",1000,9,0.02,1,0.4,0.00100819582054812,0.037327779557834,6,1,0.3,0.166155658550375,1.20572796059484,1,0,0.001,0.002,0,Inf,0.333007933909506
"35",1000,9,0.02,1,0.4,0.0258408725184379,0.0516549802504669,7,1,0.6,0.315552454756446,1.00097577590559,1,0,0.001,0,0.002,0,0.632747645023993
"36",1000,9,0.02,1,0.4,0.0283331338671881,0.0932988676410082,7,1,0.9,0.467275829494502,0.0444478508936198,1,0,0.001,0.002,0,Inf,0.934600400685277
"37",1000,10,0.02,1,0.4,-0.0163637423590355,0.0354728105873682,5,1,0,0.00671500962264932,0.417981410048042,1,0,0.001,0.002,0,Inf,0.0134301575989893
"38",1000,10,0.02,1,0.4,-0.00575646647613055,0.0357016157641823,6,1,0.3,0.166644587725061,0.0506051303108492,1,0,0.001,0.002,0,Inf,0.333393069717956
"39",1000,10,0.02,1,0.4,0.0125308352763072,0.0494610019023462,6,1,0.6,0.31562571365048,1.82812820201372,2,0.188573359850095,0.002,0,0.004,0,0.631531611324036
