n,r,tau,alph_val,alph_type,reactivation_rate,reversion_rate,rep,net_type,net_clustering,net_path_len,net_deg_assort,peak,duration,m_rec,f_rec,m_inf,f_inf,latent_prev
1000,0,0.04,1.0,SUS,100000,0,0,SAH,0.030874879113765106,3.2106446446446446,-0.021191412865164263,507,14.127133878340235,360,348,0,0,0
1000,0,0.04,1.0,SUS,100000,0,1,SAH,0.027691838668805566,3.217127127127127,-0.013341360612714414,513,17.64867597711063,335,350,0,0,0
1000,0,0.04,1.0,SUS,100000,0,2,SAH,0.029944514258314663,3.2516136136136136,-0.007643528962753716,508,17.71420535076457,356,362,0,0,0
1000,0,0.04,1.0,SUS,100000,0,3,SAH,0.026802434215804048,3.218968968968969,-0.017801667812536923,495,15.403302300301155,346,348,0,0,0
1000,0,0.04,1.0,SUS,100000,0,4,SAH,0.02768834152419243,3.2593253253253254,0.0016024589410268044,473,15.255305795574204,345,331,0,0,0
1000,0,0.04,1.0,SUS,100000,0,5,SAH,0.026520743328301264,3.2442562562562562,-0.004237613220600426,489,14.304883890635042,342,342,0,0,0
1000,0,0.04,1.0,SUS,100000,0,6,SAH,0.028923177580690733,3.2323483483483484,0.01037363445554902,507,12.492188657669551,350,348,0,0,0
1000,0,0.04,1.0,SUS,100000,0,7,SAH,0.02725976861712292,3.2287487487487487,-0.03764814521186648,497,13.8967840739491,341,344,0,0,0
1000,0,0.04,1.0,SUS,100000,0,8,SAH,0.034054848275539555,3.187981981981982,-0.04219021599909622,504,16.40142662280231,336,360,0,0,0
1000,0,0.04,1.0,SUS,100000,0,9,SAH,0.03132562273051141,3.2322082082082084,-0.01585744504699504,520,18.166026293690777,373,349,0,0,0
1000,0,0.04,1.0,SUS,100000,0,10,SAH,0.032420306322482856,3.2163463463463464,-0.02898651959047897,505,24.292165881367822,352,342,0,0,0
1000,0,0.04,1.0,SUS,100000,0,11,SAH,0.028475511454082787,3.246348348348348,-0.010453758668023796,503,15.931776166607213,363,356,0,0,0
1000,0,0.04,1.0,SUS,100000,0,12,SAH,0.028382660867452714,3.2386386386386388,-0.0037352052785554236,474,15.059714837987078,334,331,0,0,0
