"","size","rep","tau","delt","alph","mod","psi","r0","degAssort","clustering","pathLen","n_components","r","q","time_steps","peak_size","peak_time","tot_inf","prev_m","prev_f","prev_ratio","prev_l","r_actual"
"1",1000,1,0.1,"0.01",1,"i",0,3.06111668338348,-0.0104635620439791,0.0327005832368553,5,1,0,-0.00137320688243264,199.662747423093,14,0,127,NA,NA,Inf,96.0105540897098,-0.00277125828867084
"2",1000,1,0.1,"0.01",1,"i",0,3.30959545302574,0.00275203001469851,0.0470653601373876,6,1,0.6,0.31121931491566,199.863481050804,13,0,169,NA,NA,Inf,111.925696594427,0.623206659253171
"3",1000,2,0.1,"0.01",1,"i",0,3.03233032430625,-0.0105775195455304,0.0317871594429805,5,1,0,0.0202386698711984,199.514531335257,9,0,203,NA,NA,Inf,122.987244897959,0.0404872521050336
"4",1000,2,0.1,"0.01",1,"i",0,3.42657973921765,-0.0251812643456622,0.0479758803383778,8,1,0.6,0.315429417641088,198.878979321972,6,0,29,NA,NA,Inf,25.8144329896907,0.630880186003806
"5",1000,3,0.1,"0.01",1,"i",0,3.07572718154463,-0.0174435107741797,0.0324148051524539,5,1,0,-0.00947679548173103,199.307833493893,8,0,207,NA,NA,Inf,131.455947136564,-0.0189592336685969
"6",1000,3,0.1,"0.01",1,"i",0,3.33176195252424,-0.00519337558184165,0.0457286785144451,7,1,0.6,0.312403529545507,199.401386940792,7,0,69,NA,NA,Inf,43.6890756302521,0.626105340377575
"7",1000,4,0.1,"0.01",1,"i",0,3.02564359745904,-0.0251020364364839,0.0300341447782799,5,1,0,0.00711846673420455,199.513226568008,6,0,67,NA,NA,Inf,50.8577981651376,0.0142370159678754
"8",1000,4,0.1,"0.01",1,"i",0,3.29030424607155,0.0151880491956945,0.0473413065347058,7,1,0.6,0.315853156259149,199.868947466218,17,0,192,NA,NA,Inf,138.305429864253,0.632714598391399
"9",1000,5,0.1,"0.01",1,"i",0,3.01257104647275,-0.0291126124052169,0.0299647082325261,5,1,0,-0.00909820736029554,199.263931351452,7,0,113,NA,NA,Inf,90.137741046832,-0.0182319244652361
"10",1000,5,0.1,"0.01",1,"i",0,3.31370779003678,0.011435033843342,0.0487019866213312,7,1,0.6,0.315954161380833,199.82270720802,9,138.790524805148,224,NA,NA,Inf,171.659133709981,0.632280843486507
