"","size","rep","tau","degAssort","clustering","pathLen","r","q","time_steps","peak_size","peak_time","tot_inf","prev_1","prev_2","prev_ratio"
"35",500,2,0.125,-0.00586684357465669,0.0770029192345118,6,0.400290149008701,0.200107607415114,9.56554510650509,67,2.18008256529823,0.456,0.42,0.492,0.853658536585366
"36",500,2,0.125,0.0920584370441885,0.0986315407442198,6,0.533177883330249,0.262440234971195,8.76294857162893,73,2.17949456981736,0.498,0.516,0.48,1.075
"37",500,2,0.125,0.0269144159753325,0.0964106844741235,6,0.624820348680625,0.311632288702031,8.17728963163428,50,3.02317578473945,0.438,0.408,0.468,0.871794871794872
"38",500,2,0.125,0.0686693745732433,0.120664206642066,6,0.729523809523809,0.364689545725055,9.59976914162456,73,2.33836673875648,0.48,0.476,0.484,0.983471074380165
"39",500,2,0.125,0.172985083315259,0.179036043740107,7,0.831986034846579,0.412491123805205,12.136207859951,38,2.70575052621587,0.45,0.492,0.408,1.20588235294118
"40",500,2,0.125,0.194768757680812,0.237754921085299,7,0.915704799660784,0.450260111979725,10.3587938673873,89,2.86608184700153,0.468,0.46,0.476,0.966386554621849
"41",1000,2,0.125,-0.0365700532846364,0.0320100715118619,5,-0.00392944791022693,-0.00195821164597104,9.54597049728289,102,1.71720884171368,0.429,0.46,0.398,1.15577889447236
"42",1000,2,0.125,-0.0105201397904933,0.0334848174095144,5,0.105675548649328,0.0528353163804351,11.2018790360583,98,1.63539546158526,0.452,0.438,0.466,0.939914163090129
"43",1000,2,0.125,0.0122280762523514,0.0346899182080734,5,0.19561796548951,0.0975688550103672,10.5617042954391,100,1.96361348155386,0.432,0.42,0.444,0.945945945945946
"44",1000,2,0.125,-0.00112979827206701,0.0386793627084889,6,0.281197513800991,0.140001146870904,11.3389762753995,127,1.84396741786273,0.446,0.49,0.402,1.21890547263682
"45",1000,2,0.125,0.0504121793633054,0.0467943065877315,6,0.410896719082922,0.205120959669379,10.5388564441608,126,1.61051569333793,0.453,0.442,0.464,0.952586206896552
"46",1000,2,0.125,0.0334179142241396,0.0543700672318036,7,0.519231140785031,0.259547026234169,10.997320111784,136,1.5382769084179,0.457,0.45,0.464,0.969827586206897
"47",1000,2,0.125,0.0491140734069433,0.058599724325447,7,0.625872142556434,0.312763687250317,11.4804316344777,134,1.95328483478268,0.475,0.434,0.516,0.841085271317829
"48",1000,2,0.125,0.054697474479666,0.0743264168473212,8,0.723953242491793,0.361952135242236,8.79663938843284,91,1.5376288734607,0.365,0.332,0.398,0.834170854271357
"49",1000,2,0.125,0.0841730760577023,0.0942605459480684,7,0.827864920609183,0.413887419530407,8.16613789109237,112,1.1494047375335,0.426,0.408,0.444,0.918918918918919
"50",1000,2,0.125,0.180758443595511,0.168491043965985,8,0.934983407943279,0.464451549231445,9.42313563266336,129,1.63158415440638,0.413,0.372,0.454,0.819383259911894
"51",1500,2,0.125,-0.0142235426215094,0.0236157629419429,5,-0.00990434448964725,-0.00494356783038349,10.5146780148768,117,1.79514027766271,0.372666666666667,0.385333333333333,0.36,1.07037037037037
"52",1500,2,0.125,-0.00708612349811093,0.0258709051400145,5,0.106700332540738,0.0533473895017825,12.7366317859673,133,3.23399193295217,0.446666666666667,0.449333333333333,0.444,1.01201201201201
"53",1500,2,0.125,-0.00765541151235274,0.0280295770635311,5,0.197790514095112,0.0981946524980488,13.8066060184163,167,2.27555924368511,0.448666666666667,0.466666666666667,0.430666666666667,1.08359133126935
"54",1500,2,0.125,0.0045047325302112,0.0303182547197156,6,0.334383906059156,0.167120256991382,12.7739968519615,196,2.43675004687358,0.491333333333333,0.482666666666667,0.5,0.965333333333333
"55",1500,2,0.125,0.0205499130293764,0.0338490616639103,7,0.421671585823118,0.210797404204981,11.1047202647544,171,1.6859203535411,0.454666666666667,0.476,0.433333333333333,1.09846153846154
"56",1500,2,0.125,0.0145870394494472,0.0393593118445386,7,0.496919772405381,0.248225286020717,11.9758911806191,192,1.65467263893071,0.423333333333333,0.452,0.394666666666667,1.14527027027027
"57",1500,2,0.125,0.0594224504567983,0.0430374763158542,8,0.624307082678852,0.312146716055134,9.59142641578004,168,1.35918883553164,0.383333333333333,0.388,0.378666666666667,1.02464788732394
"58",1500,2,0.125,0.0641528722236072,0.0520473231804167,7,0.734211008679713,0.364627183558834,12.2943568081231,162,2.02389820223006,0.401333333333333,0.328,0.474666666666667,0.691011235955056
"59",1500,2,0.125,0.0752826476639957,0.0662626794888684,7,0.833756395242352,0.414756379827123,12.217207140276,167,1.90520342155238,0.420666666666667,0.354666666666667,0.486666666666667,0.728767123287671
"60",1500,2,0.125,0.124540876154996,0.0987499351626122,7,0.93476728113068,0.467128155219368,9.56834531721696,192,1.25488548379373,0.431333333333333,0.453333333333333,0.409333333333333,1.10749185667752
"61",500,3,0.125,-0.0434354397499229,0.050722162584171,5,-0.00119685753991875,-0.000597953920707328,11.1618760806922,45,1.85566917330311,0.374,0.364,0.384,0.947916666666667
"62",500,3,0.125,-0.016071032550088,0.0562784954407295,5,0.103304959126085,0.0515531013040011,11.0794772973138,40,2.13612547402165,0.46,0.48,0.44,1.09090909090909
"63",500,3,0.125,-0.00110838901064187,0.061569274269557,5,0.18895706797841,0.0941296875822337,12.2255777175208,61,4.6071125122734,0.456,0.408,0.504,0.809523809523809
"64",500,3,0.125,0.0328842105067035,0.071264367816092,6,0.326643830998771,0.163195996906995,7.94382421332114,71,1.82289115362347,0.464,0.496,0.432,1.14814814814815
"65",500,3,0.125,0.0144922415549125,0.0738358458961474,6,0.404357462811781,0.200789363950301,12.0638313601594,79,2.15153191708983,0.524,0.512,0.536,0.955223880597015
"66",500,3,0.125,0.0534311295526094,0.0860626499773007,6,0.529979194250047,0.26498921091944,9.70826269096929,68,1.97733835728154,0.466,0.44,0.492,0.894308943089431
"67",500,3,0.125,-0.0246310377187347,0.106707145668185,6,0.629713372041043,0.314801161091296,9.44689205656563,43,3.36503915173267,0.404,0.408,0.4,1.02
"68",500,3,0.125,0.0360187708141654,0.136651453105551,7,0.725124477337122,0.359873445906829,8.11361542504293,58,1.06077483620622,0.38,0.336,0.424,0.792452830188679
"69",500,3,0.125,0.142617971590515,0.180697502897482,8,0.832984542315891,0.415455226327786,10.181203847023,62,3.10961882386375,0.418,0.416,0.42,0.990476190476191
"70",500,3,0.125,0.224921173737087,0.242551135448542,7,0.917516869552541,0.456586116295358,8.1648108291101,56,1.70415447698261,0.35,0.42,0.28,1.5
"71",1000,3,0.125,-0.0180558683692638,0.03279466143447,5,-0.00180799633451085,-0.000903995839071942,12.1252287338306,119,3.11352281371205,0.527,0.546,0.508,1.0748031496063
"72",1000,3,0.125,-0.0223633096841216,0.0357781383380011,5,0.0992977487001021,0.0496488663583529,13.5918057146764,102,1.27138363788206,0.467,0.47,0.464,1.01293103448276
"73",1000,3,0.125,-0.0213795662406383,0.0388219941870811,6,0.234658386093793,0.117229924477545,11.7621931495567,130,1.6324773675484,0.496,0.5,0.492,1.01626016260163
"74",1000,3,0.125,0.0176081147370789,0.0431714107964223,5,0.330747105343476,0.165362365934312,10.4154466537112,92,2.18150616953642,0.43,0.426,0.434,0.981566820276498
"75",1000,3,0.125,0.0556443823475354,0.0426004137217721,6,0.397732790426488,0.19884638871479,10.5532985650665,106,1.63251244577728,0.49,0.49,0.49,1
"76",1000,3,0.125,0.0449265002732914,0.0526159157193024,7,0.498870554944239,0.249422268812455,10.4456597616773,137,2.54232454181661,0.488,0.494,0.482,1.02489626556017
"77",1000,3,0.125,0.0418765393680391,0.0650127610527182,7,0.628480059287246,0.314235464668831,11.0952999112699,125,3.40928123050395,0.491,0.472,0.51,0.925490196078431
"78",1000,3,0.125,0.0392285528384059,0.0729438034983253,7,0.727566917668919,0.363762320059476,12.8406398335356,100,1.4135209054278,0.437,0.43,0.444,0.968468468468468
"79",1000,3,0.125,0.0859499012836181,0.0914606168748407,7,0.833724556448127,0.415412315180245,13.9769347987889,117,1.98547506574985,0.403,0.352,0.454,0.775330396475771
"80",1000,3,0.125,0.153521045230773,0.15894612304332,7,0.934812363057288,0.466024834785198,8.00501545409809,119,1.34467096669611,0.43,0.426,0.434,0.981566820276498
"81",1500,3,0.125,-0.0292324137781381,0.0228901877533015,5,-0.0116778850052716,-0.00582937417922025,11.0200256364705,167,2.30415795700586,0.457333333333333,0.464,0.450666666666667,1.02958579881657
"82",1500,3,0.125,-0.00282689553081864,0.0257266449115884,5,0.104341873487824,0.0521709283630722,11.2009292305533,193,1.95812098817723,0.518,0.534666666666667,0.501333333333333,1.06648936170213
"83",1500,3,0.125,0.000961427125380208,0.027286417026403,6,0.192172210553818,0.0960767136588921,9.50738500305928,161,1.94394886299183,0.435333333333333,0.453333333333333,0.417333333333333,1.08626198083067
