"","size","rep","tau","delt","alph","mod","psi","r0","degAssort","clustering","pathLen","n_components","r","q","time_steps","peak_size","peak_time","tot_inf","prev_m","prev_f","prev_ratio","prev_l","r_actual"
"1",1000,1,1e-04,"100000",1,"i",0,0.00367260549896039,-0.0104635620439791,0.0327005832368553,5,1,0,-0.00137320688243264,3.48623554978018,10,0,10,NA,NA,1,NA,-0.00277125828867084
"2",1000,1,1e-04,"100000",1,"i",0,0.00397072039955098,0.00275203001469851,0.0470653601373876,6,1,0.6,0.31121931491566,8.49347530090635,9,0,9,NA,NA,3.5,NA,0.623206659253171
"3",1000,2,1e-04,"100000",1,"i",0,0.00363806877541242,-0.0105775195455304,0.0317871594429805,5,1,0,0.0202386698711984,3.64954463957921,6,0,6,NA,NA,5,NA,0.0404872521050336
"4",1000,2,1e-04,"100000",1,"i",0,0.00411107347236671,-0.0251812643456622,0.0479758803383778,8,1,0.6,0.315429417641088,6.17197126015449,5,0,5,NA,NA,1.5,NA,0.630880186003806
"5",1000,3,1e-04,"100000",1,"i",0,0.00369013459093537,-0.0174435107741797,0.0324148051524539,5,1,0,-0.00947679548173103,5.03590286339133,3,0,3,NA,NA,2,NA,-0.0189592336685969
"6",1000,3,1e-04,"100000",1,"i",0,0.00399731488005308,-0.00519337558184165,0.0457286785144451,7,1,0.6,0.312403529545507,5.71326406400813,15,0,15,NA,NA,1.14285714285714,NA,0.626105340377575
"7",1000,4,1e-04,"100000",1,"i",0,0.00363004630768932,-0.0251020364364839,0.0300341447782799,5,1,0,0.00711846673420455,5.38209181850612,10,0,10,NA,NA,1,NA,0.0142370159678754
"8",1000,4,1e-04,"100000",1,"i",0,0.00394757558016982,0.0151880491956945,0.0473413065347058,7,1,0.6,0.315853156259149,7.81155663382549,12,0,12,NA,NA,1.4,NA,0.632714598391399
"9",1000,5,1e-04,"100000",1,"i",0,0.00361436238329064,-0.0291126124052169,0.0299647082325261,5,1,0,-0.00909820736029554,6.61530772368396,6,0,6,NA,NA,1,NA,-0.0182319244652361
"10",1000,5,1e-04,"100000",1,"i",0,0.00397565421720069,0.011435033843342,0.0487019866213312,7,1,0.6,0.315954161380833,15.4393277266732,11,0,11,NA,NA,1.2,NA,0.632280843486507
"11",1000,6,1e-04,"100000",1,"i",0,0.00356650836332232,-0.0117200663138971,0.0308053940368675,5,1,0,-0.01220449714238,3.10229385782454,8,0,8,NA,NA,1,NA,-0.0244515642202204
